City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Qui Nhon,VN,2021-04-17 21:30:10,13.7667,109.2333,72.93,90,9,6.69
221,Atambua,ID,2021-04-17 21:30:11,-9.1061,124.8925,71.53,86,92,3.62
222,Westport,US,2021-04-17 21:26:49,41.1415,-73.3579,53.6,47,90,12.66
223,Hyeres,FR,2021-04-17 21:30:11,43.1167,6.1167,52.0,66,0,6.91
224,Kimbe,PG,2021-04-17 21:20:33,-5.5502,150.1429,76.39,90,40,1.41
225,Dikson,RU,2021-04-17 21:30:12,73.5069,80.5464,-17.18,100,39,3.42
226,Pangnirtung,CA,2021-04-17 21:30:12,66.1451,-65.7125,5.23,94,84,2.13
227,Turayf,SA,2021-04-17 21:30:13,31.6725,38.6637,69.8,40,0,6.91
228,Aklavik,CA,2021-04-17 21:30:13,68.2191,-135.0107,46.4,36,20,6.91
229,Pontianak,ID,2021-04-17 21:26:05,-0.0333,109.3333,75.2,100,75,2.3
230,Houma,US,2021-04-17 21:30:14,29.5958,-90.7195,64.4,94,90,10.36
231,Barranca,PE,2021-04-17 21:30:14,-10.75,-77.7667,69.96,78,25,9.35
232,Buraydah,SA,2021-04-17 21:30:15,26.326,43.975,75.2,38,20,8.05
233,Santa Ana,US,2021-04-17 21:27:50,33.7456,-117.8678,77.0,59,20,6.91
234,Russell,US,2021-04-17 21:30:15,32.3502,-85.1999,73.4,49,90,5.75
235,Weatherford,US,2021-04-17 21:30:16,32.7593,-97.7972,57.99,63,57,4.0
236,Kavieng,PG,2021-04-17 21:30:16,-2.5744,150.7967,82.58,76,82,11.74
237,Morada Nova,BR,2021-04-17 21:30:17,-5.1067,-38.3725,74.98,89,83,5.23
238,Sarkand,KZ,2021-04-17 21:30:17,45.41,79.9186,50.38,54,46,6.62
239,Guerrero Negro,MX,2021-04-17 21:30:17,27.9769,-114.0611,66.16,58,1,19.57
240,Katobu,ID,2021-04-17 21:30:18,-4.9408,122.5276,73.74,90,51,2.46
241,Huanren,CN,2021-04-17 21:30:18,41.2647,125.3667,35.83,89,7,2.17
242,Hasaki,JP,2021-04-17 21:30:19,35.7333,140.8333,57.2,94,20,5.75
243,Sirsa,IN,2021-04-17 21:30:19,29.5333,75.0167,74.62,36,0,7.29
244,Skelleftea,SE,2021-04-17 21:30:20,64.7507,20.9528,34.0,86,14,4.61
245,Nemuro,JP,2021-04-17 21:30:20,43.3236,145.575,40.26,98,100,26.66
246,Mezen,RU,2021-04-17 21:30:20,65.8522,44.24,25.77,89,20,5.79
247,Hayesville,US,2021-04-17 21:26:11,44.986,-122.9829,80.6,17,1,3.44
248,Bull Savanna,JM,2021-04-17 21:30:21,17.8868,-77.5902,80.82,70,1,17.49
249,Kampot,KH,2021-04-17 21:30:18,10.6167,104.1833,80.6,83,40,2.3
250,Kyzyl,RU,2021-04-17 21:30:22,51.7,94.45,32.7,61,6,4.88
251,Yerbogachen,RU,2021-04-17 21:30:22,61.2767,108.0108,4.23,90,46,9.33
252,Koumac,NC,2021-04-17 21:30:22,-20.5667,164.2833,78.13,73,60,4.38
253,Collie,AU,2021-04-17 21:30:23,-33.3667,116.15,50.0,88,0,4.36
254,Kangaatsiaq,GL,2021-04-17 21:30:23,68.3065,-53.4641,12.33,69,100,7.63
255,Avera,US,2021-04-17 21:30:24,33.194,-82.5271,75.2,38,75,8.05
256,Linxia,CN,2021-04-17 21:30:24,35.6003,103.2064,43.66,44,80,0.94
257,Meiktila,MM,2021-04-17 21:30:25,20.8667,95.8667,75.83,63,4,6.33
258,Manado,ID,2021-04-17 21:30:25,1.487,124.8455,77.0,94,20,2.3
259,Kavaratti,IN,2021-04-17 21:30:25,10.5669,72.642,83.73,70,7,5.46
260,Nome,US,2021-04-17 21:30:26,64.5011,-165.4064,33.01,93,90,8.05
261,Rura,IN,2021-04-17 21:30:26,26.4833,79.9,78.44,34,2,7.27
262,Aden,YE,2021-04-17 21:30:27,12.7794,45.0367,80.06,73,0,16.51
263,Dunedin,NZ,2021-04-17 21:30:27,-45.8742,170.5036,52.68,59,100,3.94
264,Shenjiamen,CN,2021-04-17 21:30:27,29.9576,122.298,53.1,56,100,0.67
265,Sindor,RU,2021-04-17 21:30:28,62.8629,51.8905,27.3,72,50,9.53
266,Utete,TZ,2021-04-17 21:30:28,-7.986,38.758,71.17,95,19,2.53
267,Buala,SB,2021-04-17 21:30:29,-8.145,159.5921,83.3,74,74,5.55
