City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Khatanga,RU,71.9667,102.5,-0.09,92,100,13.13,overcast clouds
284,Aklavik,CA,68.2191,-135.0107,44.6,45,100,8.05,overcast clouds
285,Kapit,MY,2.0167,112.9333,73.29,99,100,1.39,overcast clouds
286,Mahajanga,MG,-15.7167,46.3167,75.2,88,20,6.91,light rain
287,Asau,RO,46.4333,26.4,39.99,56,49,3.29,scattered clouds
288,Hay River,CA,60.8156,-115.7999,44.6,39,100,6.91,overcast clouds
289,Brooks,CA,50.5834,-111.8851,66.2,18,100,13.8,overcast clouds
290,Gobabis,NA,-22.45,18.9667,59.29,65,33,12.64,scattered clouds
291,Cherskiy,RU,68.75,161.3,27.61,71,100,27.67,overcast clouds
292,Langwedel,DE,52.9667,9.2167,44.6,70,0,5.75,clear sky
293,Lodwar,KE,3.1191,35.5973,83.59,51,100,12.24,overcast clouds
294,Harper,LR,4.375,-7.7169,77.5,86,97,5.5,overcast clouds
295,Bereda,ES,43.2686,-7.5406,30.99,99,27,1.01,scattered clouds
296,Belmonte,BR,-15.8631,-38.8828,73.4,83,0,3.44,clear sky
297,Nosy Varika,MG,-20.5833,48.5333,70.09,79,100,10.42,light rain
298,Jalu,LY,29.0331,21.5482,78.78,24,17,10.92,few clouds
299,Faanui,PF,-16.4833,-151.75,82.06,73,62,7.78,broken clouds
300,Yabassi,CM,4.457,9.9682,73.02,95,100,7.18,heavy intensity rain
301,Le Mars,US,42.7942,-96.1656,50.0,53,90,6.87,overcast clouds
302,Muros,ES,42.7762,-9.0603,50.0,77,100,6.22,overcast clouds
303,Kroya,ID,-7.6331,109.2461,80.71,77,52,2.37,broken clouds
304,Hobyo,SO,5.3505,48.5268,82.87,70,12,10.38,few clouds
305,Ixtapa,MX,20.7,-105.2,77.0,69,1,9.22,clear sky
306,Coihaique,CL,-45.5752,-72.0662,50.0,81,75,4.61,broken clouds
307,Kumo,NG,10.0447,11.2122,78.24,68,100,12.88,overcast clouds
308,Narovchat,RU,53.8765,43.6946,46.92,84,100,2.55,heavy intensity rain
309,Henties Bay,NA,-22.116,14.2845,77.58,40,78,13.4,broken clouds
310,Boa Vista,BR,2.8197,-60.6733,82.4,69,40,6.91,scattered clouds
311,Nioro,GM,13.35,-15.75,80.37,34,100,4.23,overcast clouds
312,Jieshi,CN,22.8134,115.8257,72.63,59,94,24.76,overcast clouds
313,Skibbereen,IE,51.55,-9.2667,44.6,100,75,8.05,light rain
314,Paamiut,GL,61.994,-49.6678,13.71,63,0,8.43,clear sky
315,Alaca,TR,40.1683,34.8425,57.13,57,100,9.69,overcast clouds
316,Torit,SS,4.4133,32.5678,72.72,70,100,3.4,overcast clouds
317,Weligama,LK,5.9667,80.4167,77.32,88,99,3.65,overcast clouds
318,Myitkyina,MM,25.3833,97.4,72.9,74,0,1.41,clear sky
319,Bene Ayish,IL,31.7833,34.75,62.01,72,0,5.75,clear sky
320,Pecos,US,31.4229,-103.4932,53.6,43,1,10.36,clear sky
321,Ancud,CL,-41.8697,-73.8203,51.8,100,20,8.05,few clouds
322,Duzce,TR,40.8389,31.1639,57.69,76,100,3.06,overcast clouds
323,Shurob,TJ,40.0491,70.5489,53.33,55,100,13.38,overcast clouds
324,Ukiah,US,39.1502,-123.2078,78.8,17,1,10.36,clear sky
325,Belyy Yar,RU,53.6039,91.3903,26.6,74,0,4.25,clear sky
